"1001","industry","総合商社"
"1002","industry","コンサル・シンクタンク"
"1003","industry","外資系金融・証券"
"1004","industry","日系金融・証券"
"1005","industry","外資系メーカー・サービス"
"1006","industry","日系メーカー・サービス"
"1007","industry","ITサービス"
"1008","industry","マスコミ・広告"
"2001","gradyear","既卒"
"2016","gradyear","2016卒"
"2017","gradyear","2017卒"
"3001","genre","インターン"
"3002","genre","エントリー"
"3003","genre","企業説明会"
"3004","genre","合同説明会"
